deployment,preferred_method,stream,variable,units,fill_value,n_all,n_outliers,n_nans,n_fillvalues,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,31493,14,0,0,31479,99.96,1025.1251,1023.8095,1026.3285,0.2672
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,31493,176,0,0,31317,99.44,32.4325,32.1345,32.729,0.0464
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,31493,5,0,0,31488,99.98,25.8035,21.5097,31.7033,1.4297
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,31493,0,0,0,31493,100.0,9.5895,4.7797,15.4239,1.5362
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,31493,0,0,0,31493,100.0,3.5226,3.1278,4.0382,0.1363
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,20391,24,0,0,20367,99.88,1024.9,1023.7665,1026.7046,0.5307
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,20391,24,0,0,20367,99.88,32.428,31.9408,33.1212,0.0781
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,20391,57,0,0,20334,99.72,21.507,16.4243,27.6187,1.5227
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,20391,0,0,0,20391,100.0,10.6548,5.1219,21.4036,2.7104
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,20391,24,0,0,20367,99.88,3.6173,3.1987,4.1093,0.2352
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,37234,13,0,0,37221,99.97,1025.5669,1023.2636,1026.9992,0.3321
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,37234,13,0,0,37221,99.97,32.6218,30.551,34.4588,0.1033
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,37234,21,0,0,37213,99.94,43.0804,38.3418,50.1764,1.2079
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,37234,2,0,0,37232,99.99,8.1699,5.4739,14.5452,1.7606
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,37234,13,0,0,37221,99.97,3.4166,3.2,3.9669,0.1504
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,36728,25,0,0,36703,99.93,1025.8723,1025.2231,1026.3658,0.1279
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,36728,22,0,0,36706,99.94,32.7089,32.3269,33.1134,0.0761
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,36728,22,0,0,36706,99.94,52.2078,48.5575,58.0348,1.0811
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,36728,8,0,0,36720,99.98,6.8724,5.2401,10.8143,0.7908
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,36728,6,0,0,36722,99.98,3.3112,3.1573,3.6477,0.0685
deployment0005,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,36381,119,0,0,36262,99.67,1025.6931,1023.9865,1027.3203,0.1908
deployment0005,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,36381,119,0,0,36262,99.67,32.4864,31.2361,33.8331,0.0771
deployment0005,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,36381,125,0,0,36256,99.66,50.5908,46.8787,61.1863,1.0173
deployment0005,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,36381,119,0,0,36262,99.67,6.8184,5.2281,13.2569,1.1143
deployment0005,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,36381,119,0,0,36262,99.67,3.2863,3.103,3.8343,0.0941
