deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",933764,278,0,0,877,932609,99.88,33.8808,31.9707,34.3792,0.547
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_cond,S m-1,nan,"[0.0, 6.0]",933764,278,0,0,10765,922721,98.82,3.1832,3.1058,3.9501,0.0823
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_pressure,bar,nan,"[0.0, 6000.0]",933764,0,0,10,0,933754,100.0,47.7183,0.0,98.387,27.759
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_temp,ºC,nan,"[-2.0, 40.0]",933764,278,0,0,14227,919259,98.45,3.9471,0.0,12.8872,1.1976
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,sci_seawater_density,kg m-3,nan,"[1000.0, 1100.0]",933764,3587,0,877,0,929300,99.52,1029.1012,1023.7485,1031.9703,1.8293
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_pressure_dbar,dbar,nan,"[0.0, 6000.0]",933764,0,0,10,0,933754,100.0,477.1829,0.0,983.87,277.5905
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",2597481,0,0,0,2020,2595461,99.92,33.9178,31.4518,34.3788,0.489
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_cond,S m-1,nan,"[0.0, 6.0]",2597481,0,0,0,19775,2577706,99.24,3.2285,2.503,4.0203,0.109
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_pressure,bar,nan,"[0.0, 6000.0]",2597481,0,0,4654,0,2592827,99.82,47.6405,0.0,99.168,28.7208
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_temp,ºC,nan,"[-2.0, 40.0]",2597481,0,0,0,27606,2569875,98.94,4.4416,0.0,14.3056,1.6074
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,sci_seawater_density,kg m-3,nan,"[1000.0, 1100.0]",2597481,0,0,2017,2,2595462,99.92,1029.0659,1022.2853,1031.9953,1.8735
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_pressure_dbar,dbar,nan,"[0.0, 6000.0]",2597481,0,0,4654,0,2592827,99.82,476.4053,0.0,991.68,287.2083
