deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Eastward Mean Point Seawater Velocity,vel3d_k_eastward_velocity,m s-1,pass,2702346.0,0.0,"{'missing_data_gaps': [['2014-05-09T00:00:00', '2014-05-14T23:00:00'], ['2014-05-27T00:00:00', '2014-06-01T23:00:00'], ['2014-07-14T00:00:00', '2014-07-19T23:00:00']], 'n_missing_days_total': 18, 'n_hours_missing': [96, 96, 96], 'n_hours_missing_total': 288}",0.0,,,,
deployment0001,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Northward Mean Point Seawater Velocity,vel3d_k_northward_velocity,m s-1,pass,2702346.0,0.0,"{'missing_data_gaps': [['2014-05-09T00:00:00', '2014-05-14T23:00:00'], ['2014-05-27T00:00:00', '2014-06-01T23:00:00'], ['2014-07-14T00:00:00', '2014-07-19T23:00:00']], 'n_missing_days_total': 18, 'n_hours_missing': [96, 96, 96], 'n_hours_missing_total': 288}",0.0,,,,
deployment0001,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Upward Mean Point Seawater Velocity,vel3d_k_upward_velocity,m s-1,pass,2702346.0,0.0,"{'missing_data_gaps': [['2014-05-09T00:00:00', '2014-05-14T23:00:00'], ['2014-05-27T00:00:00', '2014-06-01T23:00:00'], ['2014-07-14T00:00:00', '2014-07-19T23:00:00']], 'n_missing_days_total': 18, 'n_hours_missing': [96, 96, 96], 'n_hours_missing_total': 288}",0.0,,,,
deployment0002,telemetered-vel3d_k_wfp_stc_instrument,no other methods available for comparison,,,,,,,,,,,,
deployment0003,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Eastward Mean Point Seawater Velocity,vel3d_k_eastward_velocity,m s-1,pass,2434388.0,0.0,"{'missing_data_gaps': [['2015-06-21T00:00:02', '2015-06-26T22:37:31'], ['2015-07-21T00:00:02', '2015-07-26T22:39:36'], ['2015-08-20T00:00:02', '2015-08-25T22:38:17']], 'n_missing': [95230, 104956, 97810], 'n_missing_total': 297996, 'n_missing_days_total': 18}",2420772.0,0.0,0.0,0.0,0.0
deployment0003,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Northward Mean Point Seawater Velocity,vel3d_k_northward_velocity,m s-1,pass,2434388.0,0.0,"{'missing_data_gaps': [['2015-06-21T00:00:02', '2015-06-26T22:37:31'], ['2015-07-21T00:00:02', '2015-07-26T22:39:36'], ['2015-08-20T00:00:02', '2015-08-25T22:38:17']], 'n_missing': [95230, 104956, 97810], 'n_missing_total': 297996, 'n_missing_days_total': 18}",2420772.0,0.0,0.0,0.0,0.0
deployment0003,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Upward Mean Point Seawater Velocity,vel3d_k_upward_velocity,m s-1,pass,2434388.0,0.0,"{'missing_data_gaps': [['2015-06-21T00:00:02', '2015-06-26T22:37:31'], ['2015-07-21T00:00:02', '2015-07-26T22:39:36'], ['2015-08-20T00:00:02', '2015-08-25T22:38:17']], 'n_missing': [95230, 104956, 97810], 'n_missing_total': 297996, 'n_missing_days_total': 18}",2420772.0,0.0,0.0,0.0,0.0
deployment0004,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Eastward Mean Point Seawater Velocity,vel3d_k_eastward_velocity,m s-1,pass,1302544.0,0.0,"{'missing_data_gaps': [['2016-01-05T12:00:00', '2016-05-20T17:00:00']], 'n_missing_days_total': 137, 'n_hours_missing': [2180], 'n_hours_missing_total': 2180}",0.0,,,,
deployment0004,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Northward Mean Point Seawater Velocity,vel3d_k_northward_velocity,m s-1,pass,1302544.0,0.0,"{'missing_data_gaps': [['2016-01-05T12:00:00', '2016-05-20T17:00:00']], 'n_missing_days_total': 137, 'n_hours_missing': [2180], 'n_hours_missing_total': 2180}",0.0,,,,
deployment0004,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Upward Mean Point Seawater Velocity,vel3d_k_upward_velocity,m s-1,pass,1302544.0,0.0,"{'missing_data_gaps': [['2016-01-05T12:00:00', '2016-05-20T17:00:00']], 'n_missing_days_total': 137, 'n_hours_missing': [2180], 'n_hours_missing_total': 2180}",0.0,,,,
deployment0005,telemetered-vel3d_k_wfp_stc_instrument,no other methods available for comparison,,,,,,,,,,,,
deployment0006,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Eastward Mean Point Seawater Velocity,vel3d_k_eastward_velocity,m s-1,pass,1634316.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0006,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Northward Mean Point Seawater Velocity,vel3d_k_northward_velocity,m s-1,pass,1634316.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0006,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Upward Mean Point Seawater Velocity,vel3d_k_upward_velocity,m s-1,pass,1634316.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0007,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Eastward Mean Point Seawater Velocity,vel3d_k_eastward_velocity,m s-1,pass,8889713.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0007,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Northward Mean Point Seawater Velocity,vel3d_k_northward_velocity,m s-1,pass,8889713.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0007,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Upward Mean Point Seawater Velocity,vel3d_k_upward_velocity,m s-1,pass,8889713.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0008,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Eastward Mean Point Seawater Velocity,vel3d_k_eastward_velocity,m s-1,pass,2233455.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0008,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Northward Mean Point Seawater Velocity,vel3d_k_northward_velocity,m s-1,pass,2233455.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0008,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Upward Mean Point Seawater Velocity,vel3d_k_upward_velocity,m s-1,pass,2233455.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0009,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Eastward Mean Point Seawater Velocity,vel3d_k_eastward_velocity,m s-1,pass,2592661.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0009,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Northward Mean Point Seawater Velocity,vel3d_k_northward_velocity,m s-1,pass,2592661.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0009,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Upward Mean Point Seawater Velocity,vel3d_k_upward_velocity,m s-1,pass,2592661.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
