deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_inst,velpt_ab_instrument_recovered,eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",8111,0,0,0,0.0,8111,100.0,-0.0016,-0.3053,0.2931,0.0822
deployment0001,recovered_inst,velpt_ab_instrument_recovered,northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",8111,0,0,0,0.0,8111,100.0,-0.0017,-0.2217,0.2781,0.0807
deployment0001,recovered_inst,velpt_ab_instrument_recovered,upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",8111,0,0,0,0.0,8111,100.0,-0.0036,-0.059,0.058,0.0139
deployment0001,recovered_inst,velpt_ab_instrument_recovered,pressure_mbar,0.001 dbar,-9999999,"[0.0, 1100000.0]",8111,0,0,8111,,0,0.0,,,,
deployment0002,recovered_inst,velpt_ab_instrument_recovered,eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",7950,0,0,0,0.0,7950,100.0,0.0117,-0.2776,0.3516,0.0976
deployment0002,recovered_inst,velpt_ab_instrument_recovered,northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",7950,0,0,0,0.0,7950,100.0,0.0133,-0.3121,0.2946,0.0814
deployment0002,recovered_inst,velpt_ab_instrument_recovered,upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",7950,0,0,0,0.0,7950,100.0,0.0053,-0.064,0.079,0.0178
deployment0002,recovered_inst,velpt_ab_instrument_recovered,pressure_mbar,0.001 dbar,-9999999,"[0.0, 1100000.0]",7950,0,0,7950,,0,0.0,,,,
deployment0003,recovered_inst,velpt_ab_instrument_recovered,eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",9453,0,0,0,0.0,9453,100.0,0.0194,-0.2777,0.3424,0.0947
deployment0003,recovered_inst,velpt_ab_instrument_recovered,northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",9453,0,0,0,0.0,9453,100.0,0.0029,-0.2913,0.3052,0.082
deployment0003,recovered_inst,velpt_ab_instrument_recovered,upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",9453,0,0,1,0.0,9452,99.99,0.0131,-0.068,0.09,0.0186
deployment0003,recovered_inst,velpt_ab_instrument_recovered,pressure_mbar,0.001 dbar,-9999999,"[0.0, 1100000.0]",9453,0,0,9453,,0,0.0,,,,
deployment0004,recovered_inst,velpt_ab_instrument_recovered,eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",7396,0,0,0,0.0,7396,100.0,0.0175,-0.3129,0.2989,0.0843
deployment0004,recovered_inst,velpt_ab_instrument_recovered,northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",7396,0,0,0,0.0,7396,100.0,-0.0021,-0.3271,0.2778,0.0915
deployment0004,recovered_inst,velpt_ab_instrument_recovered,upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",7396,0,0,0,1.0,7395,99.99,0.0035,-0.078,0.072,0.0181
deployment0004,recovered_inst,velpt_ab_instrument_recovered,pressure_mbar,0.001 dbar,-9999999,"[0.0, 1100000.0]",7396,0,0,7396,,0,0.0,,,,
