deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",64892,0,0,0,2,64890,100.0,1040.5779,1040.4885,1040.6815,0.0278
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",64892,0,0,0,113,64779,99.83,34.8984,34.8701,34.9266,0.0055
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,"[0.0, 6000.0]",64892,0,0,0,2,64890,100.0,2765.7591,2764.2784,2768.5601,0.5714
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",64892,0,0,0,2,64890,100.0,1.7384,1.2148,2.3851,0.1932
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",64892,0,0,0,2,64890,100.0,3.1635,3.1178,3.2215,0.017
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",63606,0,0,0,3,63603,100.0,1040.5282,1040.4321,1040.6114,0.0328
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",63606,0,0,0,84,63522,99.87,34.9039,34.8797,34.9285,0.0046
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,"[0.0, 6000.0]",63606,0,0,0,2,63604,100.0,2755.5199,2753.1107,2759.7474,0.7246
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",63606,0,0,0,1,63605,100.0,1.7959,1.3008,2.8747,0.2313
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",63606,0,0,0,0,63606,100.0,3.1686,3.1254,3.2482,0.0204
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",75618,0,0,0,2,75616,100.0,1040.5853,1040.495,1040.6966,0.0279
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",75618,0,0,0,46,75572,99.94,34.915,34.8792,34.9506,0.0071
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,"[0.0, 6000.0]",75618,0,0,0,2,75616,100.0,2765.8189,2764.4324,2772.0923,0.5957
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",75618,0,0,0,2,75616,100.0,1.7774,1.1807,2.3841,0.198
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",75618,0,0,0,1,75617,100.0,3.1683,3.1156,3.237,0.0175
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",59166,0,0,0,0,59166,100.0,1040.563,1040.4667,1040.6562,0.0267
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",59166,0,0,0,62,59104,99.9,34.9007,34.8706,34.9307,0.0059
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,"[0.0, 6000.0]",59166,0,0,0,92,59074,99.84,2765.0674,2762.8692,2768.5833,0.6796
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",59166,0,0,0,0,59166,100.0,1.8306,1.1557,2.3473,0.2
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",59166,0,0,0,0,59166,100.0,3.1718,3.1122,3.2182,0.0178
