deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_pressure,dbar,-9999999.0,"[0.0, 6000.0]",4420,0.0,0.0,0.0,0.0,4420,100.0,38.9698,36.2807,40.8403,0.8178
deployment0001,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_temperature,ºC,-9999999.0,"[-2.0, 40.0]",4420,0.0,0.0,0.0,0.0,4420,100.0,12.4008,9.545,15.752,1.311
deployment0001,recovered_inst,presf_abc_wave_burst_recovered,presf_wave_burst_pressure,dbar,None,"[-2.0, 40.0]",1474,,,,,variable has more than 1 dimension,stats not calculated,,,,
deployment0002,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_pressure,dbar,-9999999.0,"[0.0, 6000.0]",4484,0.0,0.0,0.0,1.0,4483,99.98,39.7839,37.8125,41.5526,0.7957
deployment0002,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_temperature,ºC,-9999999.0,"[-2.0, 40.0]",4484,0.0,0.0,0.0,0.0,4484,100.0,9.2541,7.404,14.475,1.6516
deployment0002,recovered_inst,presf_abc_wave_burst_recovered,presf_wave_burst_pressure,dbar,None,"[-2.0, 40.0]",747,,,,,variable has more than 1 dimension,stats not calculated,,,,
deployment0003,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_pressure,dbar,-9999999.0,"[0.0, 6000.0]",4936,0.0,0.0,0.0,0.0,4936,100.0,39.5421,37.1665,41.5111,0.8305
deployment0003,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_temperature,ºC,-9999999.0,"[-2.0, 40.0]",4936,0.0,0.0,0.0,0.0,4936,100.0,11.3362,9.247,14.26,0.9284
deployment0003,recovered_inst,presf_abc_wave_burst_recovered,presf_wave_burst_pressure,dbar,None,"[-2.0, 40.0]",823,,,,,variable has more than 1 dimension,stats not calculated,,,,
deployment0004,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_pressure,dbar,-9999999.0,"[0.0, 6000.0]",3398,0.0,0.0,0.0,1.0,3397,99.97,39.4607,36.934,41.1911,0.8058
deployment0004,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_temperature,ºC,-9999999.0,"[-2.0, 40.0]",3398,0.0,0.0,0.0,4.0,3394,99.88,8.7076,7.498,13.563,0.9599
deployment0004,recovered_inst,presf_abc_wave_burst_recovered,presf_wave_burst_pressure,dbar,None,"[-2.0, 40.0]",566,,,,,variable has more than 1 dimension,stats not calculated,,,,
deployment0005,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_pressure,dbar,-9999999.0,"[0.0, 6000.0]",4797,0.0,0.0,0.0,1.0,4796,99.98,39.7849,37.3893,41.7001,0.8308
deployment0005,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_temperature,ºC,-9999999.0,"[-2.0, 40.0]",4797,0.0,0.0,0.0,0.0,4797,100.0,11.1438,7.349,13.848,1.6653
deployment0005,recovered_inst,presf_abc_wave_burst_recovered,presf_wave_burst_pressure,dbar,None,"[-2.0, 40.0]",799,,,,,variable has more than 1 dimension,stats not calculated,,,,
deployment0006,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_pressure,dbar,-9999999.0,"[0.0, 6000.0]",4194,0.0,0.0,0.0,1.0,4193,99.98,39.0493,36.8561,40.7584,0.7909
deployment0006,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_temperature,ºC,-9999999.0,"[-2.0, 40.0]",4194,0.0,0.0,0.0,1.0,4193,99.98,9.0915,7.694,14.078,1.0351
deployment0006,recovered_inst,presf_abc_wave_burst_recovered,presf_wave_burst_pressure,dbar,None,"[-2.0, 40.0]",699,,,,,variable has more than 1 dimension,stats not calculated,,,,
deployment0007,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_pressure,dbar,-9999999.0,"[0.0, 6000.0]",4170,0.0,0.0,0.0,0.0,4170,100.0,39.789,37.0597,41.7997,0.8599
deployment0007,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_temperature,ºC,-9999999.0,"[-2.0, 40.0]",4170,0.0,0.0,0.0,0.0,4170,100.0,10.5011,7.963,12.27,0.797
deployment0007,recovered_inst,presf_abc_wave_burst_recovered,presf_wave_burst_pressure,dbar,None,"[-2.0, 40.0]",695,,,,,variable has more than 1 dimension,stats not calculated,,,,
deployment0008,recovered_host,presf_abc_dcl_tide_measurement_recovered,absolute_pressure,psi,-9999999.0,"[0.0, 8800.0]",2105,0.0,0.0,0.0,0.0,2105,100.0,56.8257,53.451,59.4506,1.1957
deployment0008,recovered_host,presf_abc_dcl_tide_measurement_recovered,seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",2105,0.0,0.0,0.0,5.0,2100,99.76,8.9288,7.7833,13.3183,0.8457
deployment0008,recovered_host,presf_abc_dcl_tide_measurement_recovered,abs_seafloor_pressure,dbar,-9999999.0,"[0.0, 6000.0]",2105,0.0,0.0,0.0,0.0,2105,100.0,39.18,36.8532,40.9897,0.8244
