deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_pressure,dbar,-9999999.0,"[0.0, 6000.0]",3554,0,0,0.0,0.0,3554,100.0,471.9063,471.2164,472.7225,0.3344
deployment0001,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_temperature,ºC,-9999999.0,"[-2.0, 40.0]",3554,0,0,0.0,0.0,3554,100.0,6.8004,5.613,9.641,0.5883
deployment0001,recovered_inst,presf_abc_wave_burst_recovered,"presf_wave_burst_pressure (dims: ['time', 'presf_wave_burst_pressure_dim_0'])",dbar,-9999999.0,"[0.0, 6000.0]","[592, 606208]",0,0,0.0,0.0,606208,100.0,471.9107,471.2161,472.6937,0.3367
deployment0002,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_pressure,dbar,-9999999.0,"[0.0, 6000.0]",4007,0,4007,,,0,0.0,,,,
deployment0002,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_temperature,ºC,-9999999.0,"[-2.0, 40.0]",4007,0,0,0.0,23.0,3984,99.43,6.9949,5.506,13.91,0.731
deployment0002,recovered_inst,presf_abc_wave_burst_recovered,presf_wave_burst_pressure,dbar,-9999999.0,"[0.0, 6000.0]",668,0,668,,,0,0.0,,,,
deployment0003,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_pressure,dbar,-9999999.0,"[0.0, 6000.0]",4894,0,0,0.0,1.0,4893,99.98,461.4715,460.7563,462.3163,0.3409
deployment0003,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_temperature,ºC,-9999999.0,"[-2.0, 40.0]",4894,0,0,0.0,1.0,4893,99.98,6.792,5.446,8.561,0.4546
deployment0003,recovered_inst,presf_abc_wave_burst_recovered,"presf_wave_burst_pressure (dims: ['time', 'presf_wave_burst_pressure_dim_0'])",dbar,-9999999.0,"[0.0, 6000.0]","[815, 834560]",0,0,0.0,0.0,834560,100.0,461.47,460.7535,462.3174,0.3493
deployment0004,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_pressure,dbar,-9999999.0,"[0.0, 6000.0]",3314,0,0,0.0,1.0,3313,99.97,183.1508,182.5088,183.9325,0.3332
deployment0004,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_temperature,ºC,-9999999.0,"[-2.0, 40.0]",3314,0,0,0.0,1.0,3313,99.97,6.3512,5.454,8.07,0.4019
deployment0004,recovered_inst,presf_abc_wave_burst_recovered,"presf_wave_burst_pressure (dims: ['time', 'presf_wave_burst_pressure_dim_0'])",dbar,-9999999.0,"[0.0, 6000.0]","[552, 565248]",0,0,0.0,0.0,565248,100.0,458.9427,458.281,459.6633,0.3364
deployment0005,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_pressure,dbar,-9999999.0,"[0.0, 6000.0]",5734,0,0,0.0,1.0,5733,99.98,463.14,462.4075,463.994,0.3402
deployment0005,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_temperature,ºC,-9999999.0,"[-2.0, 40.0]",5734,0,0,0.0,1.0,5733,99.98,6.613,5.599,8.305,0.4198
deployment0005,recovered_inst,presf_abc_wave_burst_recovered,"presf_wave_burst_pressure (dims: ['time', 'presf_wave_burst_pressure_dim_0'])",dbar,-9999999.0,"[0.0, 6000.0]","[955, 977920]",0,0,0.0,0.0,977920,100.0,463.137,462.4007,464.0117,0.3478
deployment0006,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_pressure,dbar,-9999999.0,"[0.0, 6000.0]",3576,0,0,0.0,1.0,3575,99.97,460.552,459.889,461.3575,0.3305
deployment0006,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_temperature,ºC,-9999999.0,"[-2.0, 40.0]",3576,0,0,0.0,1.0,3575,99.97,6.4327,5.21,8.551,0.516
deployment0006,recovered_inst,presf_abc_wave_burst_recovered,"presf_wave_burst_pressure (dims: ['time', 'presf_wave_burst_pressure_dim_0'])",dbar,-9999999.0,"[0.0, 6000.0]","[596, 610304]",0,0,0.0,169.0,610135,99.97,460.5521,458.8969,461.2294,0.3295
deployment0007,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_pressure,dbar,-9999999.0,"[0.0, 6000.0]",3646,0,0,0.0,1.0,3645,99.97,461.5095,460.7943,462.3374,0.348
deployment0007,recovered_inst,presf_abc_tide_measurement_recovered,presf_tide_temperature,ºC,-9999999.0,"[-2.0, 40.0]",3646,0,0,0.0,4.0,3642,99.89,6.7027,5.283,10.199,0.7108
deployment0007,recovered_inst,presf_abc_wave_burst_recovered,"presf_wave_burst_pressure (dims: ['time', 'presf_wave_burst_pressure_dim_0'])",dbar,-9999999.0,"[0.0, 6000.0]","[607, 621568]",0,0,0.0,30.0,621538,100.0,461.5137,459.7416,462.5585,0.3561
